Non-Markovianity,x_t1,x_t2,x_t3,y_t1,y_t2,y_t3,z_t1,z_t2,z_t3
0.003697459646539669,0.6670314533668046,0.2743795132288393,0.07288361181295872,0.0,0.0,0.0,0.0,0.0,0.0
0.0028856820390539273,0.6651160943816674,0.2689750443580726,0.06700757547482006,0.0,0.0,0.0,0.0,0.0,0.0
0.006425730640336358,0.6632318525030381,0.2636318212220293,0.061203859128414195,0.0,0.0,0.0,0.0,0.0,0.0
0.010026966717228691,0.661378011495425,0.25834888083993435,0.055470932845062604,0.0,0.0,0.0,0.0,0.0,0.0
0.008364318520871494,0.6595538754562194,0.25312527957052605,0.049807313880181225,0.0,0.0,0.0,0.0,0.0,0.0
0.0071894505733041125,0.6577587681765116,0.2479600925737907,0.044211564854310714,0.0,0.0,0.0,0.0,0.0,0.0
0.006248353381181682,0.6559920325208664,0.2428524132977003,0.03868229201219964,0.0,0.0,0.0,0.0,0.0,0.0
0.0098662935840641,0.6542530298258158,0.2378013529881493,0.03321814355652053,0.0,0.0,0.0,0.0,0.0,0.0
0.015660140467277928,0.652541139316777,0.232806040220434,0.027817808052945647,0.0,0.0,0.0,0.0,0.0,0.0
0.02113650873736539,0.6508557575430767,0.22786562045077036,0.022480012903442426,0.0,0.0,0.0,0.0,0.0,0.0
0.020465258371655692,0.6491962978307246,0.22297925558646542,0.01720352288477156,0.0,0.0,0.0,0.0,0.0,0.0
0.018743232479129346,0.6475621897525667,0.21814612357348478,0.011987138749308512,0.0,0.0,0.0,0.0,0.0,0.0
0.01740346289157757,0.6459528786154163,0.21336541800025405,0.006829695885416043,0.0,0.0,0.0,0.0,0.0,0.0
0.01634925177058877,0.6443678249637554,0.20863634771664502,0.00173006303472506,0.0,0.0,0.0,0.0,0.0,0.0
0.015583421342035608,0.6428065040995938,0.20395813646717142,-0.003312858936213803,0.0,0.0,0.0,0.0,0.0,0.0
0.014675281866667667,0.6412684056180453,0.19933002253751114,-0.008300138212331665,0.0,0.0,0.0,0.0,0.0,0.0
0.01813086157597177,0.6397530329582034,0.19475125841353913,-0.013232813156820622,0.0,0.0,0.0,0.0,0.0,0.0
0.024064113633882833,0.6382599029688764,0.19022111045212975,-0.018111893390500677,0.0,0.0,0.0,0.0,0.0,0.0
0.030568730714494396,0.6367885454887492,0.18573885856303557,-0.022938360825911108,0.0,0.0,0.0,0.0,0.0,0.0
0.037173427897648326,0.6353385029405457,0.1813037959012202,-0.027713170658139497,0.0,0.0,0.0,0.0,0.0,0.0
0.04373185822575454,0.6339093299387613,0.17691522856906555,-0.03243725231433486,0.0,0.0,0.0,0.0,0.0,0.0
0.04953918863674589,0.6325005929105427,0.17257247532791714,-0.037111510363755484,0.0,0.0,0.0,0.0,0.0,0.0
0.04983455289055094,0.6311118697293052,0.16827486731848107,-0.04173682539011603,0.0,0.0,0.0,0.0,0.0,0.0
0.04840258645975304,0.6297427493606724,0.16402174778961864,-0.046314054827929774,0.0,0.0,0.0,0.0,0.0,0.0
