Non-Markovianity,x_t1,x_t2,x_t3,y_t1,y_t2,y_t3,z_t1,z_t2,z_t3
0.003934965223627,0.6670314533668046,0.2743795132288393,0.0728836118129587,0j,0j,0j,0.0,0.0,0.0
0.0071415998926582,0.6632314786441172,0.2636307584260974,0.0612027052849972,0j,0j,0j,0.0,0.0,0.0
0.0104174279305929,0.6595531515095255,0.2531232014629648,0.0498050616559169,0j,0j,0j,0.0,0.0,0.0
0.0111872259623162,0.6559909806569411,0.2428493651643907,0.0386789934709564,0j,0j,0j,0.0,0.0,0.0
0.0156836487331833,0.6525397802238566,0.2328020652628276,0.0278135121286653,0j,0j,0j,0.0,0.0,0.0
0.0204882617630647,0.6491946508238486,0.2229743950282285,0.0171982756252444,0j,0j,0j,0.0,0.0,0.0
0.0183109929468583,0.6459509617370313,0.213359711187287,0.0068235406735652,0j,0j,0j,0.0,0.0,0.0
0.0249353977777958,0.6428043342122942,0.2039516209616097,-0.0033198811812854,0j,0j,0j,0.0,0.0,0.0
0.0370351721508652,0.6397506258302195,0.1947439700822582,-0.0132406637969957,0j,0j,0j,0.0,0.0,0.0
0.0351852187444846,0.6367859158727568,0.1857308316611127,-0.0229470033376189,0j,0j,0j,0.0,0.0,0.0
0.0339032438287858,0.6339064916445426,0.1769064958185836,-0.0324466521368747,0j,0j,0j,0.0,0.0,0.0
0.0322431072625453,0.631108835690755,0.16826545998302,-0.0417469497872836,0j,0j,0j,0.0,0.0,0.0
0.0437916611561821,0.6283896138572781,0.1598024197902354,-0.0508548516981566,0j,0j,0j,0.0,0.0,0.0
0.0571738684279001,0.625745664140478,0.1515122605224396,-0.059776955344151,0j,0j,0j,0.0,0.0,0.0
0.0693484648524874,0.6231739862758432,0.1433900490348246,-0.0685195244065173,0j,0j,0j,0.0,0.0,0.0
0.0673743910357461,0.620671732016997,0.1354310261255266,-0.0770885109911685,0j,0j,0j,0.0,0.0,0.0
0.0655320288825325,0.6182361960589957,0.1276305993108516,-0.0854895760912193,0j,0j,0j,0.0,0.0,0.0
0.0658369147573311,0.6158648075623593,0.1199843359728085,-0.0937281084465795,0j,0j,0j,0.0,0.0,0.0
0.0662775595017906,0.6135551222367892,0.1124879568502695,-0.1018092419394157,0j,0j,0j,0.0,0.0,0.0
0.0662828326928725,0.611304814946053,0.1051373298486487,-0.1097378716517473,0j,0j,0j,0.0,0.0,0.0
0.0718413684889116,0.609111672797954,0.0979284641459947,-0.1175186687000149,0j,0j,0j,0.0,0.0,0.0
0.0821957279999151,0.606973588685674,0.0908575045758866,-0.1251560939510446,0j,0j,0j,0.0,0.0,0.0
0.0920186280256502,0.6048885552490397,0.0839207262696555,-0.1326544107143887,0j,0j,0j,0.0,0.0,0.0
0.1037325958186803,0.6028546592264163,0.077114529542232,-0.1400176964974187,0j,0j,0j,0.0,0.0,0.0
0.1164968227079614,0.6008700761699775,0.0704354350074488,-0.1472498539017437,0j,0j,0j,0.0,0.0,0.0
0.12968443219314,0.5989330654990069,0.0638800789099181,-0.1543546207324537,0j,0j,0j,0.0,0.0,0.0
0.1425774526573078,0.5970419658677093,0.0574452086617278,-0.1613355793852493,0j,0j,0j,0.0,0.0,0.0
0.1434099955711786,0.5951951908256733,0.0511276785731513,-0.168196165570698,0j,0j,0j,0.0,0.0,0.0
0.1430246338752451,0.5933912247507245,0.0449244457674154,-0.1749396764295678,0j,0j,0j,0.0,0.0,0.0
0.1425908220592037,0.5916286190353538,0.0388325662702837,-0.1815692780883941,0j,0j,0j,0.0,0.0,0.0
0.142241377880823,0.5899059885092932,0.0328491912658763,-0.188088012700089,0j,0j,0j,0.0,0.0,0.0
